,beta0,beta1,value
55,0.0,0.55,0.043368668302627714
56,0.0,0.56,0.05382178167974092
57,0.0,0.5700000000000001,0.06262821060662735
58,0.0,0.58,0.07127753565190269
59,0.0,0.59,0.08091706004579145
60,0.0,0.6,0.09027208763770184
61,0.0,0.61,0.09651193796151984
62,0.0,0.62,0.10394771873415637
63,0.0,0.63,0.11124148506106489
64,0.0,0.64,0.1177212081244152
65,0.0,0.65,0.12347906769671295
66,0.0,0.66,0.12953494226901827
67,0.0,0.67,0.13415945031152648
68,0.0,0.68,0.13837657713681353
69,0.0,0.6900000000000001,0.14280666374014012
70,0.0,0.7000000000000001,0.14600875411006553
71,0.0,0.71,0.14860862905408118
72,0.0,0.72,0.15093059126069852
73,0.0,0.73,0.15249467068159756
74,0.0,0.74,0.1534590701806369
75,0.0,0.75,0.1537393902210284
76,0.0,0.76,0.15342200967034342
77,0.0,0.77,0.15244119245418958
78,0.0,0.78,0.15095382750157832
79,0.0,0.79,0.1489419862121902
80,0.0,0.8,0.14594080489503786
81,0.0,0.81,0.14262532564441907
82,0.0,0.8200000000000001,0.13841136077713817
83,0.0,0.8300000000000001,0.13338263104812917
84,0.0,0.84,0.1285228975726122
85,0.0,0.85,0.1221173053713519
86,0.0,0.86,0.11527016029516342
87,0.0,0.87,0.10923029198368961
88,0.0,0.88,0.10276676566643891
89,0.0,0.89,0.09632053460569764
90,0.0,0.9,0.08788010916075874
91,0.0,0.91,0.08060096542492338
92,0.0,0.92,0.07268567945207871
93,0.0,0.93,0.06529674177607998
94,0.0,0.9400000000000001,0.05703043213879304
95,0.0,0.9500000000000001,0.04865900278063967
96,0.0,0.96,0.03896513084578575
97,0.0,0.97,0.027846394765613017
98,0.0,0.98,0.01787173928171037
99,0.0,0.99,0.0080172511886338
100,0.0,1.0,-0.001676252249242692
101,0.01,0.0,-0.009855682476520113
102,0.01,0.01,-0.009855682476520113
103,0.01,0.02,-0.019708431311119365
104,0.01,0.03,-0.02938600596108322
105,0.01,0.04,-0.038744110762015074
106,0.01,0.05,-0.05035830140063929
107,0.01,0.06,-0.05873541178544424
108,0.01,0.07,-0.06607864772367679
109,0.01,0.08,-0.07676751014671268
