,beta0,beta1,value
62,0.0,0.62,-0.19209991647786184
63,0.0,0.63,-0.1816586230199661
64,0.0,0.64,-0.1730217600823774
65,0.0,0.65,-0.16576928238517089
66,0.0,0.66,-0.15870084724337116
67,0.0,0.67,-0.15153240329363507
68,0.0,0.68,-0.14572931381007165
69,0.0,0.6900000000000001,-0.14007791253108326
70,0.0,0.7000000000000001,-0.13578286604807627
71,0.0,0.71,-0.13211333625764243
72,0.0,0.72,-0.12902108662392692
73,0.0,0.73,-0.1270947284775948
74,0.0,0.74,-0.12597559331713085
75,0.0,0.75,-0.1254950059581946
76,0.0,0.76,-0.1254950059581946
77,0.0,0.77,-0.1254950059581946
78,0.0,0.78,-0.1254950059581946
79,0.0,0.79,-0.1254950059581946
80,0.0,0.8,-0.1254950059581946
81,0.0,0.81,-0.1254950059581946
82,0.0,0.8200000000000001,-0.1254950059581946
83,0.0,0.8300000000000001,-0.1254950059581946
84,0.0,0.84,-0.1254950059581946
85,0.0,0.85,-0.1254950059581946
86,0.0,0.86,-0.1254950059581946
87,0.0,0.87,-0.1254950059581946
88,0.0,0.88,-0.1254950059581946
89,0.0,0.89,-0.1254950059581946
90,0.0,0.9,-0.1254950059581946
91,0.0,0.91,-0.1254950059581946
92,0.0,0.92,-0.1254950059581946
93,0.0,0.93,-0.1254950059581946
94,0.0,0.9400000000000001,-0.1254950059581946
95,0.0,0.9500000000000001,-0.1254950059581946
96,0.0,0.96,-0.1254950059581946
97,0.0,0.97,-0.1254950059581946
98,0.0,0.98,-0.1254950059581946
99,0.0,0.99,-0.1254950059581946
100,0.0,1.0,-0.1254950059581946
101,0.01,0.0,-0.33702187068815065
102,0.01,0.01,-0.33702187068815065
103,0.01,0.02,-0.35026282730820896
104,0.01,0.03,-0.3633958813186483
105,0.01,0.04,-0.3764735384077321
106,0.01,0.05,-0.38915261951336366
107,0.01,0.06,-0.4007286216642172
108,0.01,0.07,-0.4128294051004785
109,0.01,0.08,-0.42574774060528714
110,0.01,0.09,-0.43701224269086125
111,0.01,0.1,-0.4480115500769274
112,0.01,0.11,-0.4581239276851612
113,0.01,0.12,-0.4678761658309526
114,0.01,0.13,-0.47839923950166685
115,0.01,0.14,-0.48829729865917326
116,0.01,0.15,-0.496424911537305
117,0.01,0.16,-0.504648041454122
118,0.01,0.17,-0.5119248994491117
119,0.01,0.18,-0.5179546262738614
120,0.01,0.19,-0.5235792813803719
121,0.01,0.2,-0.5280556723027628
122,0.01,0.21,-0.5317411647436943
123,0.01,0.22,-0.5347976549525874
124,0.01,0.23,-0.5368812966394978
125,0.01,0.24,-0.5379699702631975
126,0.01,0.25,-0.5383499560111109
127,0.01,0.26,-0.5379129546004707
